ID,ARTICULO,COD. PROV,COSTO,$ VENTA1,$ VENTA 2,MARCA,ITEM,Items,Stock,PROVEEDOR,NRO DE CLIENTE
7457,"TIRAFONDO 6,5 X 75",TTF06076,87.772,132.0,145.0,TIRAFONDO,TORNILLOS,TORNILLOS,620.0,BREMEN ARGENTINA S.A.,4335
7458,PIEDRA AFILAR DOBLE FAZ,7198,3345.391,5018.0,5520.0,BREMEN QUALITY TOOLS,FERRETERIA,FERRETERIA,2.0,BREMEN ARGENTINA S.A.,4335
7460,PIOLIN ALB. FINO 21,118015,26.397000000000002,40.0,44.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,150.0,FERRETERA DEL NORTE,3600
7461,TACO FISCHER FU 6 X 35 HUECO UN.,282500,1126.971,1690.0,1860.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,0.0,FERRETERA DEL NORTE,3600
7462,PIOLIN ALB. MDNO 27,118017,27.517,41.0,45.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,592.0,FERRETERA DEL NORTE,3600
7464,PIOLIN ALB. GSO 48,118019,58.289,87.0,96.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,-236.0,FERRETERA DEL NORTE,3600
7465,TACO FISCHER FU 8 X 50 HUECO UN.,282503,761.438,1142.0,1256.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,0.0,FERRETERA DEL NORTE,3600
7466,PLOMADA 400 G CILINDRICA,303016,7197.513,10796.0,11876.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,2.0,FERRETERA DEL NORTE,3600
7467,CADENA  PLASTICA BLANCA Y ROJA X MT,NA4048,21322.637,29852.0,32837.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,0.0,EXTRA POWER,3702
7468,PLOMADA 500 G CILINDRICA,14-10782,8865.078,13298.0,14627.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,0.0,CONTAINER S.R.L.,3638
